#,Condom�nio,Endere�o,Bairro,Cidade,Estado,CEP,  Unidade,Lat,Long
58,Pontal do Mar,Rua Caja S/n,Ponta Da Fruta,VILA VELHA,ES,29129-105,30,,
59,Port Soleil,Rua S�o Benedito 82,Centro,GUARAPARI,ES,29200-300,120,,
60,Porto das Pedras,Rua Prof Telmo de Souza Torres 631,Praia da Costa,VILA VELHA,ES,29101-350,20,,
61,Prada,Rua Luiz Fernandes Reis 227,Praia da Costa,VILA VELHA,ES,29101-120,48,,
62,Praia Brava,Saturnino Rangel Mauro 470,Praia de Itaparica,VILA VELHA,ES,29102-032,56,,
63,Praia dos Padres,Alameda Frisia S/N,Enseada Azul,GUARAPARI,ES,29206-140,48,,
64,Quartieri di Italia,Rua Luiz Fernandes Reis 111,Praia da Costa,VILA VELHA,ES,29101-120,48,,
65,Red Tower,Rua Deolindo Perim 385,Praia de Itaparica,VILA VELHA,ES,29102-320,60,,
66,Reserva Itaparica,Rodovia do Sol 1980,Praia de Itaparica,VILA VELHA,ES,29102-020,228,,
67,Resid. Aribiri,Rua Emygdio Ferreira Sacramento 117,Ataide,VILA VELHA,ES,29119-030,160,,
68,Royal Beach,Avenida Hugo Musso 2000,Itapu�,VILA VELHA,ES,29101-782,83,,
69,Royal Blue Corporate,Rodovia do Sol 2070,Praia de Itaparica,VILA VELHA,ES,29102-020,126,,
70,Royal Palace,Rua Luiz Fernades Reis 301,Praia da Costa,VILA VELHA,ES,29101-120,32,,
71,Santa F�,Rua Resplendor 133,Itapu�,VILA VELHA,ES,29101-500,49,,
72,Santa Izabel,Rua Henrique Laranja 290,Centro,VILA VELHA,ES,29100-350,30,,
73,Santorini,Rua Corveta 295,S�o Conrado,VILA VELHA,ES,29100-001,20,,
74,S�o Conrado,Rua Sereia 310,S�o Conrado,VILA VELHA,ES,29124-090,28,,
75,Simonassi,Rua Itaguarana 24,Praia de Itaparica,VILA VELHA,ES,29102-060,30,,
76,SN Office Tower,Rua Const Sebasti�o Soares de Souza 70,Praia da Costa,VILA VELHA,ES,29101-350,111,,
77,Solar da Vila,Rua Angelo Ant�nio Fernandes 320,Ataide,VILA VELHA,ES,29119-055,380,,
78,Summer,Rua Di�genes Malacarne 260,Praia da Costa,VILA VELHA,ES,29101-210,40,,
79,Vale do Luar,Rod. Manoel Loyola 1500,Village do Sol,GUARAPARI,ES,29226-700,518,,
80,Vancouver,Rua Guanabara 1019,Itapu�,VILA VELHA,ES,29101-592,48,,
81,Varandas da Enseada,Alameda Ramires 66 ,Enseada Azul,GUARAPARI,ES,29206-150,12,,
82,Verdes Mares,Rua Humberto Serrano 520,Praia da Costa,VILA VELHA,ES,29101-460,72,,
83,Vernazza,Rodovia do Sol 2670,Praia de Itaparica,VILA VELHA,ES,29102-001,70,,
84,Vila D Ita,Av. Saturnino Rangel Mauro 3250,Praia de Itaparica,VILA VELHA,ES,29102-036,285,,
85,Vila Romana,Rua Candido das Neves 41,Ilha Dos Ayres,VILA VELHA,ES,29106-700,144,,
86,Village Marine,Av. Est. Jose Julio de Souza 710,Praia de Itaparica,VILA VELHA,ES,29101-825,48,,
87,Vivace,Rua Aquino Araujo 180,Praia da Costa,VILA VELHA,ES,29101-240,83,,
,,,,,,,5983,,
